run_id,method,aug,seed,stage,epoch,lr_used,lr_next,train_loss,val_loss,train_base_loss,val_base_loss,train_aux_ce,val_aux_ce,n_train_units,n_val_units,train_batches,val_batches,skipped_batches,val_bacc,val_auc,val_recall_dead,val_recall_alive,val_precision_dead,val_f1_dead
selfcon__simclr__s42,selfcon,simclr,42,contrastive,19,0.0003969463130731183,0.0003861597587537568,1.3068828980127971,1.9008157554879246,1.3068828980127971,1.9008157554879246,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,20,0.0003861597587537568,0.000375,1.0837766806284586,2.1216305709746948,1.0837766806284586,2.1216305709746948,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,21,0.000375,0.00036349762493488667,1.0913246790568034,2.170624678393444,1.0913246790568034,2.170624678393444,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,22,0.00036349762493488667,0.0003516841607689501,0.9627419551213582,2.0028016825756394,0.9627419551213582,2.0028016825756394,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,23,0.0003516841607689501,0.00033959198738632514,1.1360119620958964,2.062097119997783,1.1360119620958964,2.062097119997783,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,24,0.00033959198738632514,0.00032725424859373687,1.417969544728597,1.867527662989605,1.417969544728597,1.867527662989605,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,25,0.00032725424859373687,0.00031470476127563017,1.1142504572868348,1.8742321083344609,1.1142504572868348,1.8742321083344609,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,26,0.00031470476127563017,0.00030197792270443975,1.0051979064941405,1.7784550146884228,1.0051979064941405,1.7784550146884228,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,27,0.00030197792270443975,0.0002891086162600577,0.7689091920852661,1.7193833848080002,0.7689091920852661,1.7193833848080002,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,28,0.0002891086162600577,0.00027613211581691336,0.7909739335378011,1.6952671573822757,0.7909739335378011,1.6952671573822757,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,29,0.00027613211581691336,0.00026308398906073593,0.8281468272209167,1.7231183368039418,0.8281468272209167,1.7231183368039418,,,240,166,4,3,0,,,,,,
